NodeID_from,NodeID_to,weight
0,331,1
1,93,1
1,332,1
2,1,1
3,333,1
4,40,1
5,70,1
6,334,1
7,299,1
8,335,1
9,336,1
10,263,1
11,92,1
12,112,1
13,131,1
14,337,1
15,38,1
16,18,1
17,13,1
18,118,1
19,141,1
20,41,1
21,23,1
22,68,1
23,25,1
24,30,1
20,12,1
25,35,1
26,200,1
27,29,1
28,160,1
29,23,1
30,110,1
31,15,1
32,33,1
33,111,1
34,41,1
35,112,1
36,200,1
37,338,1
38,32,1
39,199,1
40,120,1
41,35,1
42,14,1
24,27,1
20,90,1
43,24,1
43,27,1
44,339,1
13,128,1
45,128,1
46,62,1
42,340,1
47,341,1
48,342,1
49,343,1
50,191,1
51,50,1
52,344,1
53,345,1
54,154,1
55,62,1
56,161,1
57,45,1
58,44,1
59,45,1
59,17,1
60,59,1
60,17,1
26,57,1
26,59,1
61,344,1
62,236,1
63,64,1
64,62,1
65,61,1
66,61,1
66,65,1
67,68,1
68,258,1
69,346,1
70,0,1
70,37,1
71,89,1
72,85,1
73,182,1
74,10,1
75,325,1
76,88,1
77,347,1
78,79,1
79,5,1
80,348,1
81,83,1
82,77,1
83,80,1
84,96,1
85,81,1
86,82,1
87,2,1
88,86,1
89,349,1
90,84,1
91,43,1
4,126,1
92,71,1
93,94,1
94,337,1
95,175,1
96,113,1
97,76,1
98,129,1
99,125,1
100,116,1
101,72,1
31,350,1
97,103,1
102,11,1
103,337,1
104,34,1
105,149,1
34,124,1
106,351,1
107,100,1
108,119,1
109,166,1
110,107,1
111,118,1
112,31,1
113,114,1
114,16,1
115,121,1
116,117,1
117,102,1
118,97,1
119,21,1
120,101,1
121,342,1
122,98,1
123,109,1
124,352,1
125,104,1
4,106,1
126,136,1
47,127,1
127,342,1
128,131,1
129,353,1
42,47,1
130,53,1
131,168,1
132,16,1
133,259,1
134,91,1
135,99,1
136,140,1
137,132,1
138,134,1
137,139,1
139,115,1
140,105,1
141,53,1
142,143,1
143,122,1
144,145,1
145,138,1
137,147,1
146,135,1
147,157,1
148,130,1
149,142,1
150,54,1
151,135,1
152,154,1
121,153,1
153,148,1
144,354,1
154,162,1
54,155,1
155,355,1
156,157,1
19,167,1
157,169,1
158,149,1
159,170,1
160,144,1
36,208,1
161,158,1
162,183,1
161,95,1
163,19,1
164,165,1
165,159,1
166,156,1
167,178,1
168,28,1
164,146,1
169,173,1
170,172,1
164,179,1
171,176,1
172,123,1
173,184,1
174,194,1
175,187,1
176,177,1
177,163,1
178,201,1
179,195,1
180,174,1
181,49,1
182,171,1
183,197,1
56,158,1
169,203,1
184,185,1
185,73,1
186,39,1
168,58,1
58,339,1
187,57,1
188,189,1
44,49,1
189,339,1
190,356,1
191,60,1
192,193,1
193,188,1
194,192,1
195,196,1
196,186,1
197,198,1
198,201,1
199,180,1
200,357,1
201,205,1
202,215,1
203,209,1
36,206,1
50,204,1
204,181,1
205,210,1
51,191,1
206,207,1
207,56,1
208,213,1
209,216,1
210,211,1
211,212,1
212,221,1
213,214,1
214,219,1
215,51,1
216,217,1
217,225,1
218,222,1
219,358,1
133,55,1
220,229,1
221,226,1
222,359,1
219,223,1
223,220,1
224,233,1
225,360,1
226,227,1
225,230,1
227,228,1
228,361,1
229,3,1
230,232,1
231,218,1
232,234,1
46,55,1
233,361,1
52,224,1
229,362,1
234,248,1
235,237,1
22,66,1
236,246,1
237,361,1
52,363,1
238,242,1
239,231,1
69,240,1
240,344,1
67,364,1
241,263,1
242,243,1
243,239,1
244,253,1
245,65,1
22,67,1
246,365,1
247,238,1
248,63,1
63,62,1
249,247,1
250,46,1
251,366,1
252,269,1
253,249,1
64,133,1
236,257,1
254,249,1
255,254,1
256,251,1
257,264,1
258,272,1
259,265,1
260,190,1
190,235,1
261,260,1
262,283,1
235,270,1
263,244,1
264,274,1
265,266,1
266,252,1
267,250,1
268,69,1
269,256,1
270,268,1
271,261,1
272,280,1
263,279,1
273,268,1
274,275,1
275,271,1
276,310,1
277,255,1
278,267,1
279,282,1
252,281,1
280,300,1
281,262,1
282,288,1
283,367,1
284,273,1
285,296,1
286,287,1
287,277,1
288,367,1
289,290,1
290,368,1
291,292,1
292,252,1
293,367,1
294,295,1
295,284,1
296,286,1
297,7,1
298,297,1
299,278,1
286,304,1
300,301,1
294,307,1
301,289,1
302,314,1
303,298,1
304,305,1
305,313,1
306,291,1
307,302,1
308,291,1
309,6,1
310,303,1
311,312,1
312,293,1
313,316,1
314,319,1
315,294,1
316,317,1
317,318,1
318,324,1
319,322,1
320,369,1
321,315,1
322,323,1
323,325,1
324,326,1
313,370,1
325,8,1
326,328,1
327,321,1
328,329,1
329,320,1
330,327,1
