NodeID_from,NodeID_to,weight
0,33,1
1,1665,1
2,1608,1
3,54,1
4,84,1
5,73,1
6,1731,1
7,89,1
8,1732,1
9,113,1
10,20,1
11,49,1
12,1233,1
13,1134,1
14,1733,1
15,83,1
16,48,1
17,774,1
18,9,1
19,95,1
20,837,1
21,1734,1
22,12,1
23,75,1
24,67,1
25,57,1
26,1432,1
27,2,1
28,96,1
29,1735,1
30,64,1
31,63,1
32,26,1
33,1340,1
34,87,1
35,105,1
36,79,1
37,1736,1
38,1047,1
39,1262,1
40,37,1
41,1737,1
42,17,1
43,52,1
44,25,1
45,59,1
2,45,1
46,1738,1
47,4,1
48,275,1
49,82,1
50,16,1
51,68,1
52,793,1
53,575,1
54,1739,1
55,38,1
56,347,1
57,14,1
58,1737,1
43,655,1
52,66,1
59,104,1
60,53,1
61,1740,1
62,5,1
63,46,1
64,1741,1
65,118,1
66,1742,1
67,1743,1
41,592,1
68,111,1
69,33,1
70,101,1
71,112,1
72,93,1
73,94,1
74,78,1
75,1744,1
76,24,1
77,12,1
78,871,1
79,97,1
80,24,1
81,37,1
82,19,1
83,51,1
84,20,1
85,47,1
86,39,1
87,69,1
88,1745,1
89,1746,1
90,17,1
91,13,1
92,44,1
82,933,1
93,35,1
54,8,1
94,99,1
13,110,1
95,1747,1
96,109,1
97,98,1
98,85,1
1,7,1
99,1747,1
100,34,1
101,103,1
102,100,1
103,15,1
43,1748,1
104,29,1
105,90,1
106,549,1
107,65,1
108,549,1
96,234,1
109,1749,1
110,61,1
111,30,1
112,21,1
113,26,1
78,92,1
38,1750,1
114,1751,1
115,858,1
116,1752,1
117,160,1
118,508,1
119,149,1
120,241,1
121,415,1
122,570,1
123,1481,1
124,150,1
125,1511,1
126,416,1
127,1753,1
128,292,1
129,611,1
130,221,1
131,116,1
132,1754,1
133,310,1
134,118,1
135,576,1
136,341,1
137,772,1
138,309,1
139,1167,1
140,628,1
141,56,1
142,854,1
143,1755,1
144,1756,1
145,836,1
146,698,1
147,1757,1
148,1758,1
149,671,1
150,222,1
150,1397,1
151,735,1
152,301,1
153,417,1
154,614,1
155,846,1
156,320,1
157,1068,1
158,842,1
159,674,1
160,794,1
161,138,1
162,1407,1
163,1388,1
164,1002,1
165,596,1
166,142,1
167,1368,1
168,756,1
169,682,1
170,1323,1
171,367,1
172,275,1
173,308,1
174,855,1
175,1033,1
176,120,1
177,183,1
178,153,1
179,1759,1
180,376,1
181,1760,1
182,149,1
183,298,1
184,635,1
185,698,1
186,411,1
187,594,1
188,1325,1
189,614,1
190,115,1
191,812,1
192,243,1
154,189,1
193,527,1
194,242,1
119,196,1
195,1215,1
196,182,1
197,873,1
198,778,1
199,1761,1
200,201,1
201,170,1
202,303,1
203,1694,1
204,281,1
205,637,1
206,1366,1
207,261,1
208,211,1
209,1176,1
