NodeID_from,NodeID_to,weight
0,7,1
1,27,1
2,36,1
3,58,1
4,50,1
5,30,1
6,214,1
7,18,1
8,215,1
9,1,1
10,12,1
11,10,1
12,214,1
13,118,1
14,13,1
15,2,1
16,21,1
17,19,1
18,17,1
19,15,1
20,16,1
21,0,1
22,34,1
23,24,1
24,216,1
25,5,1
26,56,1
27,29,1
28,32,1
29,33,1
23,31,1
30,8,1
31,28,1
32,25,1
33,215,1
34,35,1
35,11,1
36,40,1
37,43,1
38,39,1
39,37,1
40,41,1
41,3,1
42,20,1
43,42,1
11,38,1
44,4,1
45,46,1
46,47,1
47,9,1
12,44,1
48,49,1
49,51,1
50,48,1
51,45,1
52,57,1
53,217,1
54,52,1
55,59,1
56,55,1
57,53,1
58,217,1
54,26,1
59,60,1
60,218,1
61,219,1
62,61,1
63,177,1
64,73,1
65,22,1
66,220,1
67,220,1
68,126,1
69,213,1
70,76,1
71,204,1
72,145,1
73,22,1
74,170,1
75,136,1
76,221,1
77,81,1
78,184,1
79,150,1
80,77,1
81,123,1
82,94,1
83,190,1
84,128,1
85,137,1
86,87,1
87,209,1
88,89,1
89,109,1
90,91,1
91,79,1
92,93,1
93,134,1
94,95,1
95,62,1
96,94,1
97,135,1
98,141,1
99,106,1
100,132,1
101,85,1
102,131,1
103,188,1
104,222,1
105,99,1
106,133,1
107,183,1
108,67,1
109,197,1
110,186,1
111,151,1
112,198,1
113,171,1
114,160,1
115,122,1
116,164,1
117,101,1
118,155,1
68,167,1
119,201,1
120,143,1
121,66,1
122,112,1
123,78,1
124,211,1
125,14,1
126,142,1
127,223,1
128,140,1
129,97,1
130,169,1
131,129,1
132,200,1
97,70,1
133,72,1
134,222,1
135,189,1
136,107,1
137,92,1
138,172,1
139,117,1
140,148,1
141,165,1
142,116,1
143,121,1
144,212,1
145,98,1
146,182,1
147,168,1
148,86,1
149,153,1
150,173,1
151,96,1
152,208,1
153,83,1
154,199,1
63,110,1
155,193,1
156,203,1
157,65,1
158,82,1
159,114,1
160,185,1
161,156,1
162,205,1
163,127,1
164,159,1
165,111,1
64,65,1
166,223,1
104,146,1
167,158,1
168,138,1
169,187,1
170,130,1
171,196,1
172,115,1
173,194,1
174,152,1
175,108,1
123,71,1
176,75,1
177,174,1
178,69,1
179,180,1
180,147,1
181,179,1
182,181,1
183,139,1
184,176,1
185,80,1
186,192,1
187,154,1
188,90,1
189,105,1
190,161,1
191,202,1
175,178,1
192,100,1
193,157,1
194,74,1
195,88,1
196,195,1
197,166,1
198,207,1
199,102,1
200,163,1
201,162,1
202,144,1
203,119,1
127,206,1
204,103,1
205,191,1
206,223,1
207,206,1
208,125,1
209,124,1
210,149,1
211,210,1
212,120,1
213,113,1
