NodeID_from,NodeID_to,weight
0,402,1
1,403,1
2,16,1
3,49,1
4,25,1
5,53,1
6,404,1
7,404,1
8,345,1
1,124,1
9,279,1
10,12,1
11,9,1
12,11,1
13,8,1
14,52,1
15,186,1
16,14,1
15,405,1
17,405,1
18,51,1
19,278,1
20,19,1
21,402,1
22,210,1
22,406,1
23,298,1
24,183,1
23,45,1
25,24,1
4,48,1
26,0,1
27,407,1
27,408,1
28,29,1
29,1,1
30,37,1
31,36,1
32,30,1
33,35,1
34,33,1
22,34,1
35,32,1
36,409,1
37,31,1
38,47,1
39,41,1
40,404,1
41,40,1
42,38,1
43,44,1
44,42,1
45,410,1
46,54,1
47,39,1
48,50,1
49,46,1
50,21,1
51,8,1
52,18,1
53,161,1
54,411,1
26,412,1
55,24,1
56,67,1
57,120,1
58,209,1
59,413,1
60,216,1
61,335,1
62,96,1
63,414,1
64,415,1
65,416,1
66,150,1
67,103,1
68,389,1
69,417,1
70,418,1
71,70,1
72,418,1
73,65,1
74,419,1
75,420,1
76,267,1
77,421,1
78,3,1
79,105,1
80,113,1
81,414,1
82,154,1
83,419,1
84,139,1
63,98,1
85,66,1
86,82,1
71,100,1
87,422,1
88,92,1
89,423,1
90,423,1
91,146,1
92,135,1
93,157,1
88,149,1
3,253,1
94,96,1
58,424,1
95,401,1
96,255,1
97,111,1
97,400,1
98,110,1
99,119,1
100,143,1
101,89,1
102,126,1
103,327,1
104,425,1
105,84,1
106,140,1
107,426,1
108,118,1
90,72,1
109,131,1
110,83,1
111,427,1
112,428,1
113,86,1
114,108,1
115,315,1
116,73,1
117,107,1
118,429,1
119,116,1
120,68,1
121,300,1
122,430,1
27,408,1
123,431,1
124,432,1
125,169,1
74,415,1
69,121,1
126,102,1
127,126,1
128,237,1
129,158,1
130,159,1
131,60,1
132,153,1
133,416,1
134,91,1
135,115,1
79,137,1
113,117,1
112,63,1
136,428,1
137,141,1
138,136,1
139,142,1
140,427,1
141,106,1
142,138,1
143,144,1
114,80,1
82,99,1
144,426,1
57,417,1
145,127,1
146,421,1
147,152,1
148,147,1
149,148,1
150,151,1
151,77,1
151,77,1
152,134,1
153,130,1
154,99,1
155,408,1
156,155,1
157,156,1
158,59,1
93,413,1
159,81,1
160,171,1
161,252,1
162,433,1
163,230,1
164,300,1
165,434,1
166,200,1
167,398,1
168,435,1
145,436,1
162,437,1
169,438,1
170,439,1
171,233,1
172,160,1
173,175,1
61,336,1
174,233,1
175,194,1
176,225,1
177,173,1
178,440,1
179,221,1
