NodeID_from,NodeID_to,weight
0,3240,1
1,0,1
2,183,1
3,4,1
4,3241,1
5,518,1
6,3242,1
7,336,1
8,3243,1
9,3244,1
10,34,1
11,97,1
12,3245,1
13,34,1
14,3246,1
15,14,1
16,67,1
17,67,1
18,2604,1
18,2796,1
19,3247,1
20,5,1
21,3248,1
21,6,1
22,3249,1
23,1993,1
24,47,1
25,179,1
25,3250,1
24,180,1
26,2817,1
27,3251,1
28,177,1
29,177,1
30,3243,1
31,3252,1
32,3242,1
33,178,1
34,3253,1
35,3254,1
36,3255,1
37,36,1
38,22,1
39,40,1
40,2582,1
41,3242,1
42,3256,1
43,3256,1
44,502,1
45,44,1
46,2465,1
46,2632,1
47,3257,1
48,1409,1
49,3258,1
50,3259,1
51,3260,1
52,3258,1
53,3261,1
54,109,1
55,63,1
56,436,1
57,3262,1
58,3263,1
59,3263,1
60,3254,1
61,3264,1
62,173,1
63,3265,1
64,181,1
65,3266,1
65,1133,1
66,215,1
67,3267,1
68,62,1
69,3243,1
70,73,1
70,3268,1
71,3269,1
72,1401,1
71,72,1
73,14,1
74,3270,1
75,3270,1
76,3271,1
76,3261,1
77,167,1
78,3272,1
79,81,1
80,3244,1
81,80,1
78,3273,1
79,3273,1
82,83,1
83,3274,1
84,3274,1
85,82,1
86,82,1
87,18,1
22,3275,1
88,166,1
89,3251,1
90,164,1
91,3276,1
92,3260,1
93,175,1
94,3277,1
94,182,1
95,3240,1
96,170,1
97,7,1
98,11,1
99,3278,1
100,3278,1
101,857,1
102,3262,1
58,102,1
103,52,1
101,761,1
104,3279,1
105,425,1
106,3240,1
107,3259,1
108,53,1
109,1659,1
110,136,1
111,415,1
112,135,1
113,3280,1
114,160,1
107,116,1
115,3281,1
116,3282,1
117,36,1
118,46,1
119,10,1
120,156,1
121,3283,1
122,3284,1
123,3285,1
124,50,1
125,138,1
126,125,1
127,107,1
121,132,1
128,140,1
129,3286,1
130,75,1
131,697,1
132,3285,1
133,3287,1
134,3283,1
135,134,1
136,44,1
137,126,1
138,141,1
139,3288,1
140,109,1
141,148,1
142,3288,1
143,3289,1
143,128,1
144,145,1
145,3279,1
146,123,1
110,133,1
147,144,1
101,3290,1
139,162,1
148,3291,1
131,122,1
149,3278,1
150,920,1
137,3284,1
151,3292,1
152,174,1
153,174,1
154,3293,1
118,154,1
155,3294,1
156,155,1
120,157,1
157,158,1
158,98,1
9,3294,1
159,3295,1
119,3296,1
160,151,1
161,3297,1
162,3292,1
163,3298,1
53,2471,1
164,3299,1
165,104,1
88,1869,1
166,184,1
167,4,1
168,3300,1
92,3301,1
169,93,1
170,3298,1
96,3299,1
171,3260,1
172,3250,1
173,100,1
174,725,1
175,3246,1
35,3248,1
176,175,1
57,55,1
61,3302,1
177,3303,1
178,1113,1
179,3304,1
180,172,1
181,65,1
182,3298,1
58,103,1
183,3245,1
184,3305,1
185,3305,1
186,84,1
187,3306,1
185,91,1
188,187,1
189,1390,1
190,248,1
191,2441,1
192,256,1
193,3307,1
194,8,1
195,2883,1
196,1463,1
197,220,1
198,2960,1
199,1264,1
200,676,1
201,2771,1
202,421,1
203,2754,1
204,1330,1
205,3308,1
206,3309,1
207,3310,1
208,636,1
209,3311,1
210,231,1
211,305,1
212,307,1
213,3312,1
214,3313,1
215,2690,1
216,226,1
216,3314,1
217,2190,1
218,3315,1
219,3316,1
220,3317,1
221,359,1
222,443,1
223,2020,1
224,3318,1
225,1937,1
226,3319,1
227,3320,1
228,3164,1
229,3321,1
230,3322,1
231,3097,1
210,1416,1
232,390,1
233,2044,1
220,1761,1
234,3323,1
235,3313,1
236,3324,1
237,3325,1
238,832,1
239,238,1
240,1705,1
241,240,1
242,3324,1
243,1800,1
244,3326,1
245,3327,1
246,1223,1
247,1536,1
248,247,1
249,3328,1
250,3328,1
251,3329,1
249,251,1
252,1454,1
253,1314,1
254,233,1
255,1039,1
215,2001,1
85,1956,1
256,257,1
257,2061,1
258,1017,1
259,1797,1
260,714,1
261,2917,1
262,3053,1
210,1416,1
3,1729,1
19,263,1
263,1729,1
264,836,1
265,264,1
265,3330,1
218,3315,1
266,1834,1
267,1421,1
268,1421,1
269,1373,1
270,3331,1
270,3332,1
86,1602,1
271,1693,1
272,1691,1
273,983,1
274,276,1
275,276,1
276,211,1
212,2041,1
277,1341,1
278,3333,1
279,1902,1
280,305,1
281,2072,1
282,3334,1
283,3335,1
284,283,1
285,1254,1
286,285,1
287,285,1
233,225,1
288,2283,1
289,1875,1
290,3336,1
291,3322,1
291,230,1
292,1487,1
293,3337,1
294,1884,1
295,2030,1
294,3057,1
296,295,1
297,3338,1
298,301,1
299,230,1
300,2066,1
301,300,1
302,291,1
303,3339,1
304,3340,1
305,280,1
306,3341,1
288,3249,1
307,1882,1
308,1808,1
309,280,1
310,1254,1
311,1204,1
312,683,1
313,3309,1
314,1196,1
315,179,1
316,757,1
317,3342,1
318,1588,1
319,3343,1
320,3344,1
321,3345,1
322,1348,1
323,330,1
324,3346,1
325,1537,1
326,2851,1
327,328,1
328,1396,1
329,1041,1
330,653,1
331,1788,1
332,333,1
333,1022,1
334,1893,1
335,3347,1
336,1256,1
337,3348,1
338,1069,1
339,90,1
340,750,1
341,3349,1
342,3350,1
343,1386,1
344,3351,1
345,1344,1
346,3352,1
347,1863,1
348,1810,1
349,363,1
350,1352,1
351,1954,1
352,1190,1
353,3353,1
354,3107,1
355,3354,1
356,3355,1
357,598,1
358,3356,1
359,1234,1
205,359,1
360,1669,1
361,1316,1
362,1377,1
363,362,1
364,608,1
365,369,1
366,365,1
367,365,1
368,741,1
369,368,1
370,3357,1
371,3358,1
372,1782,1
373,2362,1
374,1490,1
375,530,1
376,349,1
377,380,1
378,3359,1
379,165,1
165,3312,1
380,379,1
381,1779,1
382,3360,1
383,416,1
384,2429,1
376,1080,1
385,384,1
386,2301,1
130,459,1
387,1661,1
388,1750,1
389,425,1
390,3361,1
391,3362,1
392,1596,1
393,1700,1
394,1316,1
394,506,1
395,461,1
396,2721,1
397,3363,1
398,3364,1
399,2707,1
400,2924,1
401,2751,1
402,1741,1
403,3365,1
404,405,1
404,532,1
405,549,1
406,1561,1
407,641,1
408,2567,1
348,3366,1
409,2332,1
365,2149,1
410,411,1
411,652,1
412,3367,1
413,3368,1
414,1088,1
411,424,1
415,3369,1
416,376,1
417,3370,1
418,3369,1
419,418,1
420,3369,1
421,3371,1
422,2125,1
423,2149,1
424,2844,1
425,3075,1
426,2783,1
427,3052,1
428,114,1
428,114,1
429,3002,1
430,115,1
431,1048,1
432,1770,1
433,168,1
434,1902,1
435,2624,1
433,2111,1
436,1120,1
437,1388,1
438,437,1
439,1012,1
440,1364,1
441,440,1
370,1306,1
442,407,1
443,698,1
444,1147,1
445,654,1
446,1540,1
447,3372,1
448,565,1
449,219,1
450,451,1
451,453,1
452,1228,1
453,452,1
454,994,1
455,3371,1
456,529,1
457,1620,1
458,1776,1
459,2610,1
460,577,1
461,1987,1
462,3373,1
463,1277,1
464,3374,1
465,467,1
466,464,1
467,580,1
468,471,1
469,1329,1
470,1329,1
471,2376,1
471,198,1
472,2747,1
473,3375,1
474,1046,1
475,3376,1
476,3377,1
477,3378,1
478,602,1
479,553,1
480,1179,1
481,2989,1
482,483,1
483,2408,1
484,555,1
485,3379,1
486,3380,1
487,683,1
488,1228,1
489,2255,1
490,544,1
491,2999,1
492,355,1
493,3381,1
494,599,1
495,753,1
496,495,1
497,3308,1
498,3382,1
499,3383,1
500,1439,1
501,3384,1
502,1679,1
503,3385,1
504,198,1
505,3386,1
456,638,1
506,889,1
507,3387,1
508,601,1
509,3388,1
510,534,1
511,660,1
512,513,1
513,1345,1
514,523,1
515,3388,1
516,1465,1
517,3389,1
518,3390,1
519,3391,1
520,2794,1
521,3392,1
271,3393,1
522,3394,1
523,1323,1
524,3395,1
525,3396,1
526,1751,1
527,2907,1
528,1840,1
529,406,1
530,3397,1
531,533,1
532,405,1
533,1168,1
534,539,1
535,1309,1
536,419,1
479,2254,1
537,3398,1
538,3311,1
539,525,1
540,3393,1
541,3399,1
542,645,1
543,3400,1
544,3401,1
545,3370,1
546,3402,1
547,1617,1
