NodeID_from,NodeID_to,weight
0,77,1
1,119,1
2,120,1
3,108,1
4,85,1
5,121,1
6,122,1
7,123,1
8,124,1
9,56,1
10,125,1
11,126,1
12,27,1
13,127,1
14,128,1
15,129,1
16,65,1
17,130,1
18,131,1
19,132,1
20,133,1
21,134,1
22,88,1
23,113,1
24,106,1
24,47,1
25,101,1
26,13,1
27,98,1
28,45,1
29,42,1
30,67,1
31,22,1
32,107,1
33,41,1
34,112,1
33,59,1
35,33,1
36,80,1
37,100,1
38,116,1
39,66,1
40,111,1
41,40,1
42,84,1
43,103,1
44,96,1
45,89,1
46,28,1
47,98,1
48,30,1
49,135,1
50,51,1
51,46,1
52,99,1
53,75,1
54,26,1
55,84,1
56,68,1
57,35,1
58,136,1
59,41,1
60,109,1
61,57,1
62,137,1
63,86,1
46,58,1
58,93,1
64,138,1
25,95,1
65,107,1
66,91,1
67,62,1
68,82,1
69,139,1
70,90,1
71,73,1
72,66,1
73,74,1
74,55,1
75,74,1
54,55,1
76,53,1
60,140,1
75,141,1
77,87,1
45,39,1
62,49,1
78,61,1
79,86,1
80,18,1
81,23,1
82,117,1
83,60,1
84,54,1
85,37,1
86,110,1
87,92,1
80,10,1
88,32,1
89,14,1
90,17,1
68,100,1
70,142,1
91,104,1
92,72,1
93,97,1
94,53,1
95,143,1
96,15,1
97,104,1
98,25,1
99,31,1
100,70,1
64,93,1
101,71,1
71,64,1
102,59,1
103,34,1
103,50,1
104,144,1
105,78,1
106,145,1
107,102,1
108,52,1
109,22,1
110,60,1
111,114,1
112,111,1
40,112,1
35,43,1
57,43,1
73,94,1
78,102,1
74,24,1
113,136,1
90,114,1
114,126,1
50,116,1
115,126,1
116,81,1
82,38,1
117,23,1
100,146,1
118,36,1
85,118,1
105,89,1
87,76,1
