NodeID_from,NodeID_to,weight
0,1,1
1,1365,1
2,1366,1
3,896,1
4,3,1
5,1234,1
6,5,1
7,543,1
8,262,1
9,873,1
10,885,1
11,2,1
12,2,1
13,14,1
14,1206,1
15,1165,1
16,63,1
17,15,1
18,1025,1
19,20,1
20,1048,1
21,36,1
22,1367,1
18,22,1
23,51,1
24,44,1
25,54,1
26,61,1
27,26,1
28,5,1
29,31,1
30,67,1
31,1368,1
15,0,1
32,35,1
33,32,1
34,46,1
35,40,1
36,749,1
37,38,1
38,42,1
39,349,1
40,25,1
41,60,1
42,1369,1
43,472,1
44,48,1
45,43,1
46,1021,1
47,1370,1
48,3,1
49,47,1
50,1371,1
51,24,1
52,637,1
53,52,1
54,10,1
50,465,1
55,50,1
56,30,1
57,58,1
58,27,1
59,1372,1
60,34,1
61,28,1
62,39,1
63,49,1
64,1373,1
59,196,1
65,466,1
66,65,1
65,1374,1
67,1375,1
68,196,1
69,53,1
70,873,1
71,267,1
72,1294,1
73,1044,1
74,897,1
29,985,1
75,1376,1
76,597,1
77,174,1
78,89,1
79,81,1
80,600,1
81,163,1
82,186,1
83,278,1
84,94,1
85,95,1
86,541,1
87,705,1
88,237,1
89,90,1
90,471,1
91,764,1
92,424,1
93,643,1
94,665,1
95,96,1
96,704,1
97,115,1
98,671,1
99,92,1
100,346,1
101,284,1
102,55,1
103,112,1
104,199,1
105,846,1
106,183,1
107,714,1
108,296,1
109,804,1
75,114,1
110,614,1
111,617,1
112,1377,1
113,246,1
114,996,1
115,1378,1
116,298,1
117,1289,1
118,297,1
119,290,1
120,786,1
121,626,1
122,988,1
123,985,1
124,550,1
125,621,1
126,438,1
127,375,1
128,135,1
129,130,1
130,11,1
131,443,1
132,1135,1
133,711,1
134,451,1
135,139,1
136,1379,1
137,728,1
56,1380,1
100,1381,1
138,456,1
139,185,1
140,459,1
141,849,1
142,219,1
143,586,1
144,187,1
145,468,1
146,487,1
147,649,1
148,103,1
149,626,1
150,692,1
151,478,1
152,650,1
153,147,1
154,1171,1
155,156,1
156,87,1
157,519,1
158,159,1
159,454,1
160,509,1
161,397,1
162,562,1
163,499,1
136,1382,1
164,255,1
165,78,1
166,176,1
167,530,1
168,555,1
169,117,1
170,1196,1
171,512,1
172,402,1
173,307,1
174,546,1
175,1383,1
176,703,1
177,708,1
178,571,1
179,177,1
180,231,1
181,784,1
182,738,1
183,588,1
184,698,1
185,485,1
186,589,1
187,1384,1
188,862,1
189,660,1
190,675,1
191,190,1
192,83,1
193,7,1
194,458,1
195,305,1
196,558,1
197,1385,1
198,226,1
199,993,1
200,1384,1
201,1386,1
202,129,1
203,664,1
204,216,1
205,748,1
206,202,1
207,337,1
208,743,1
209,748,1
210,211,1
211,646,1
212,225,1
213,205,1
214,106,1
215,1123,1
216,503,1
217,352,1
218,771,1
219,191,1
220,673,1
221,230,1
222,681,1
223,244,1
224,829,1
225,1387,1
226,212,1
227,373,1
228,707,1
229,568,1
230,363,1
37,564,1
231,267,1
232,844,1
233,812,1
234,634,1
235,930,1
236,76,1
237,99,1
238,762,1
239,238,1
240,173,1
241,407,1
242,721,1
243,677,1
244,677,1
245,436,1
246,479,1
247,751,1
248,835,1
249,755,1
250,385,1
251,303,1
143,252,1
252,759,1
253,279,1
254,1388,1
255,853,1
256,77,1
257,675,1
258,385,1
259,218,1
260,1379,1
261,800,1
63,1347,1
262,1351,1
263,1079,1
264,902,1
265,266,1
266,1332,1
267,662,1
268,594,1
269,119,1
270,836,1
271,120,1
272,399,1
273,235,1
274,142,1
275,203,1
79,275,1
276,725,1
277,1388,1
278,515,1
221,783,1
279,280,1
280,282,1
281,690,1
282,474,1
283,785,1
284,787,1
285,18,1
286,324,1
287,340,1
288,947,1
289,616,1
290,369,1
291,746,1
292,1389,1
293,668,1
294,108,1
295,122,1
296,223,1
297,1094,1
298,1094,1
299,1028,1
300,839,1
301,300,1
302,842,1
303,840,1
304,860,1
305,644,1
306,170,1
307,306,1
308,585,1
309,391,1
310,590,1
311,1390,1
312,852,1
313,1328,1
314,180,1
315,850,1
10,1204,1
316,858,1
193,717,1
317,863,1
318,1038,1
319,547,1
320,356,1
321,319,1
322,775,1
323,1079,1
324,342,1
325,333,1
326,360,1
327,329,1
328,80,1
329,1391,1
233,327,1
330,331,1
331,333,1
332,334,1
333,332,1
334,341,1
335,353,1
336,330,1
337,326,1
338,351,1
339,1392,1
340,286,1
341,361,1
325,811,1
342,1393,1
343,344,1
344,1126,1
345,123,1
346,347,1
347,66,1
348,742,1
349,348,1
350,1394,1
351,1395,1
352,1396,1
353,1076,1
354,1224,1
355,354,1
355,320,1
356,321,1
357,1074,1
358,68,1
359,1397,1
360,323,1
361,824,1
349,1398,1
362,339,1
64,767,1
363,861,1
364,639,1
365,808,1
366,1399,1
367,389,1
368,666,1
185,554,1
369,868,1
370,305,1
371,625,1
372,470,1
373,730,1
374,386,1
375,1400,1
376,227,1
377,724,1
378,164,1
379,437,1
304,268,1
380,452,1
381,439,1
382,150,1
383,738,1
384,1043,1
385,508,1
386,378,1
387,591,1
388,149,1
389,418,1
390,445,1
391,1382,1
221,546,1
392,188,1
393,633,1
273,364,1
394,823,1
395,440,1
396,545,1
397,415,1
398,1269,1
399,102,1
400,537,1
401,522,1
402,584,1
403,736,1
404,249,1
405,661,1
406,599,1
407,416,1
408,694,1
409,612,1
410,414,1
411,461,1
412,406,1
413,200,1
414,132,1
415,371,1
416,405,1
417,381,1
418,410,1
419,727,1
420,316,1
421,125,1
422,916,1
423,86,1
424,84,1
425,592,1
426,427,1
427,845,1
428,411,1
429,859,1
318,648,1
128,762,1
430,629,1
431,457,1
432,214,1
433,432,1
434,702,1
435,270,1
436,251,1
437,119,1
438,757,1
439,830,1
440,442,1
441,224,1
442,833,1
443,611,1
444,1381,1
445,669,1
446,444,1
447,273,1
448,723,1
449,758,1
450,802,1
451,1211,1
452,635,1
453,636,1
454,619,1
455,89,1
456,595,1
457,480,1
458,449,1
459,460,1
460,464,1
461,152,1
462,121,1
463,422,1
464,758,1
465,462,1
466,274,1
467,691,1
468,551,1
469,579,1
470,718,1
471,172,1
472,384,1
473,477,1
474,473,1
475,851,1
476,525,1
477,516,1
478,773,1
479,628,1
480,198,1
481,162,1
482,700,1
483,482,1
484,430,1
485,153,1
486,1208,1
487,552,1
488,1083,1
489,767,1
490,489,1
491,134,1
492,498,1
493,157,1
494,631,1
495,488,1
496,207,1
497,491,1
498,229,1
499,490,1
21,697,1
500,581,1
501,500,1
502,620,1
503,159,1
504,158,1
505,260,1
506,504,1
507,506,1
508,1298,1
509,624,1
510,693,1
511,534,1
512,484,1
513,91,1
514,598,1
515,514,1
516,610,1
517,567,1
518,388,1
519,517,1
520,79,1
521,695,1
522,528,1
523,580,1
524,523,1
525,73,1
177,521,1
526,647,1
527,419,1
528,367,1
529,1186,1
530,529,1
531,532,1
532,1043,1
533,494,1
534,175,1
535,1091,1
536,184,1
260,538,1
537,696,1
538,507,1
539,540,1
540,234,1
541,790,1
542,469,1
73,1388,1
543,729,1
544,167,1
545,501,1
546,559,1
547,247,1
548,178,1
549,569,1
550,533,1
551,1222,1
552,553,1
553,308,1
554,85,1
555,848,1
556,453,1
557,546,1
558,676,1
559,557,1
560,561,1
561,1383,1
562,71,1
563,171,1
564,1020,1
565,566,1
566,37,1
567,542,1
568,505,1
569,573,1
570,575,1
571,572,1
572,608,1
573,576,1
574,571,1
575,578,1
576,574,1
577,744,1
578,605,1
579,531,1
580,181,1
581,475,1
582,105,1
583,141,1
584,583,1
29,587,1
585,215,1
586,144,1
587,236,1
588,776,1
589,425,1
590,404,1
591,932,1
592,368,1
593,720,1
594,685,1
595,189,1
596,735,1
597,257,1
598,518,1
599,446,1
600,813,1
601,760,1
602,560,1
603,606,1
604,1326,1
605,604,1
606,570,1
607,609,1
608,603,1
609,601,1
610,607,1
611,100,1
612,495,1
613,1042,1
614,283,1
615,450,1
616,197,1
617,380,1
618,855,1
619,146,1
89,706,1
620,613,1
621,995,1
622,194,1
623,1387,1
624,556,1
625,201,1
626,143,1
251,243,1
627,217,1
628,204,1
629,1040,1
630,56,1
631,502,1
632,789,1
633,1401,1
634,1402,1
635,376,1
636,206,1
625,366,1
637,638,1
638,640,1
639,793,1
640,408,1
641,209,1
642,210,1
643,378,1
644,843,1
645,596,1
646,398,1
647,434,1
648,651,1
649,880,1
650,652,1
651,166,1
652,447,1
653,256,1
654,390,1
655,140,1
656,558,1
657,582,1
658,687,1
659,657,1
660,663,1
661,565,1
662,508,1
663,392,1
664,770,1
665,137,1
666,291,1
667,395,1
668,126,1
669,1382,1
670,654,1
671,672,1
672,287,1
377,772,1
673,713,1
674,381,1
675,699,1
676,678,1
677,245,1
678,289,1
679,680,1
680,822,1
681,417,1
682,795,1
683,805,1
683,133,1
684,683,1
685,131,1
686,710,1
687,431,1
688,409,1
689,645,1
690,670,1
691,138,1
