NodeID_from,NodeID_to,weight
0,238,1
1,5,1
2,37,1
3,279,1
4,108,1
5,43,1
6,125,1
7,8,1
8,38,1
9,15,1
10,17,1
11,10,1
12,9,1
13,12,1
14,18,1
15,16,1
16,290,1
17,13,1
18,206,1
19,11,1
20,320,1
21,20,1
22,21,1
23,22,1
24,25,1
25,23,1
26,24,1
27,28,1
28,32,1
29,229,1
30,33,1
31,30,1
32,31,1
33,204,1
34,40,1
35,41,1
27,42,1
36,7,1
37,1,1
38,44,1
39,34,1
40,2,1
41,39,1
42,35,1
43,36,1
44,321,1
45,77,1
46,53,1
47,54,1
48,51,1
49,57,1
50,49,1
51,50,1
52,321,1
53,47,1
54,55,1
55,56,1
56,45,1
57,46,1
58,322,1
59,60,1
60,62,1
61,79,1
62,150,1
63,52,1
64,63,1
65,72,1
66,67,1
67,64,1
68,223,1
69,76,1
70,61,1
71,70,1
72,71,1
73,65,1
74,73,1
75,78,1
76,269,1
77,75,1
78,74,1
79,69,1
80,323,1
81,80,1
82,77,1
83,82,1
84,83,1
85,97,1
86,275,1
87,221,1
88,92,1
89,266,1
90,89,1
91,278,1
92,256,1
93,95,1
94,86,1
95,96,1
96,85,1
97,98,1
98,116,1
99,115,1
100,114,1
101,103,1
102,113,1
103,102,1
104,105,1
105,109,1
106,104,1
107,110,1
108,200,1
109,107,1
110,4,1
111,14,1
112,117,1
113,112,1
114,197,1
115,100,1
116,99,1
117,106,1
118,199,1
119,111,1
120,122,1
121,120,1
122,324,1
123,133,1
124,123,1
125,124,1
126,6,1
127,126,1
128,127,1
129,132,1
130,129,1
131,130,1
132,128,1
133,121,1
134,195,1
135,137,1
136,321,1
137,136,1
138,325,1
139,138,1
140,220,1
141,142,1
142,223,1
143,144,1
144,290,1
145,179,1
146,147,1
139,282,1
147,260,1
148,149,1
149,257,1
150,318,1
151,157,1
152,312,1
153,152,1
154,227,1
155,190,1
156,151,1
157,154,1
158,139,1
159,277,1
160,159,1
161,162,1
162,201,1
163,161,1
164,165,1
165,27,1
166,174,1
167,166,1
168,170,1
169,281,1
170,176,1
171,175,1
172,171,1
173,172,1
150,173,1
174,164,1
175,168,1
176,177,1
177,167,1
178,233,1
179,208,1
180,29,1
181,232,1
182,183,1
183,222,1
184,224,1
185,186,1
186,187,1
187,202,1
188,242,1
189,226,1
190,193,1
191,228,1
192,191,1
193,181,1
194,189,1
195,163,1
196,326,1
197,205,1
198,320,1
48,322,1
81,84,1
199,101,1
200,119,1
201,169,1
202,327,1
203,19,1
204,198,1
205,118,1
206,203,1
207,328,1
208,192,1
209,155,1
210,218,1
211,91,1
212,236,1
213,240,1
214,216,1
215,248,1
216,188,1
217,0,1
218,178,1
219,3,1
220,286,1
221,261,1
222,185,1
184,252,1
223,287,1
224,329,1
225,245,1
226,239,1
227,225,1
228,180,1
229,249,1
230,231,1
231,209,1
232,244,1
233,247,1
234,250,1
235,234,1
236,235,1
237,212,1
238,237,1
239,217,1
240,194,1
241,246,1
242,241,1
243,215,1
244,207,1
245,145,1
246,213,1
247,269,1
248,214,1
249,230,1
250,210,1
251,243,1
252,182,1
253,328,1
254,143,1
255,254,1
256,292,1
184,283,1
257,131,1
258,148,1
259,258,1
260,265,1
261,94,1
262,295,1
263,262,1
264,146,1
265,259,1
266,263,1
267,276,1
268,280,1
269,268,1
270,160,1
271,270,1
272,271,1
273,274,1
274,272,1
251,273,1
275,88,1
276,264,1
251,327,1
277,158,1
278,90,1
196,255,1
279,307,1
280,253,1
281,309,1
282,267,1
283,293,1
284,296,1
285,300,1
286,285,1
287,297,1
288,289,1
289,298,1
290,288,1
291,326,1
292,294,1
293,299,1
294,291,1
295,87,1
296,68,1
297,134,1
298,284,1
299,211,1
300,330,1
301,302,1
302,140,1
303,304,1
304,301,1
305,306,1
306,303,1
131,316,1
307,319,1
308,311,1
309,310,1
310,305,1
311,227,1
312,156,1
313,153,1
314,317,1
315,314,1
269,315,1
316,59,1
317,313,1
318,219,1
319,308,1
