NodeID_from,NodeID_to,weight
0,62464,1
1,0,1
2,1353,1
3,62465,1
4,1203,1
5,2738,1
6,512,1
7,39505,1
8,5177,1
9,119,1
10,356,1
11,568,1
12,125,1
13,141,1
14,78,1
15,231,1
16,39523,1
17,7,1
18,536,1
19,16,1
20,41,1
21,39983,1
22,361,1
23,214,1
24,375,1
25,39,1
26,82,1
27,62,1
28,161,1
29,379,1
30,32415,1
31,3720,1
32,33,1
33,384,1
34,203,1
35,55,1
36,302,1
37,101,1
38,40,1
39,136,1
40,42818,1
41,62466,1
42,50,1
43,148,1
44,828,1
45,827,1
46,139,1
47,389,1
48,438,1
49,6380,1
50,530,1
51,578,1
52,48,1
53,63,1
54,73,1
55,15,1
56,5082,1
57,62467,1
58,83,1
59,5081,1
60,212,1
61,62468,1
62,57,1
63,65,1
64,192,1
65,5085,1
66,267,1
67,5088,1
68,5179,1
69,40203,1
70,221,1
71,262,1
72,232,1
73,149,1
74,62469,1
75,62470,1
76,59,1
77,13444,1
78,1186,1
79,87,1
80,64,1
81,72,1
82,3337,1
83,257,1
84,58,1
85,62471,1
86,97,1
82,254,1
87,67,1
88,282,1
89,5083,1
90,75,1
85,689,1
91,463,1
92,94,1
93,92,1
94,3630,1
95,1207,1
96,70,1
97,191,1
98,263,1
99,220,1
100,167,1
101,211,1
102,103,1
103,62472,1
104,62473,1
105,62472,1
105,106,1
106,107,1
107,108,1
108,62474,1
109,62474,1
110,62475,1
111,62475,1
109,62476,1
110,62476,1
112,117,1
113,114,1
114,62477,1
111,113,1
115,62477,1
115,116,1
116,118,1
117,62478,1
118,112,1
119,62478,1
9,62479,1
120,62479,1
121,444,1
120,62480,1
122,138,1
123,230,1
124,62480,1
125,124,1
126,162,1
127,3641,1
128,130,1
129,128,1
130,127,1
131,129,1
132,144,1
133,134,1
134,392,1
135,84,1
136,174,1
137,237,1
138,245,1
139,88,1
140,240,1
141,66,1
142,239,1
143,133,1
144,1038,1
145,1428,1
146,132,1
147,25,1
148,160,1
149,241,1
150,146,1
151,150,1
152,13493,1
153,62481,1
154,151,1
155,684,1
156,13041,1
157,3647,1
158,11969,1
159,62482,1
160,135,1
161,18,1
162,100,1
163,153,1
164,142,1
165,243,1
166,53,1
167,54,1
168,170,1
169,634,1
170,176,1
171,185,1
172,13062,1
173,5087,1
174,26,1
175,62483,1
176,213,1
177,38983,1
178,180,1
179,39806,1
180,181,1
181,182,1
182,38141,1
183,44648,1
184,235,1
185,122,1
186,228,1
187,62484,1
188,14,1
189,96,1
190,46,1
191,189,1
192,126,1
193,77,1
194,258,1
195,196,1
196,238,1
197,37648,1
198,197,1
199,281,1
200,199,1
201,204,1
202,205,1
203,218,1
204,200,1
205,201,1
206,62485,1
207,188,1
208,296,1
209,158,1
210,172,1
211,71,1
212,123,1
213,208,1
214,173,1
215,216,1
216,202,1
217,32567,1
218,207,1
219,184,1
220,168,1
221,90,1
222,62486,1
223,217,1
224,42591,1
225,236,1
226,1307,1
227,62487,1
228,165,1
229,13,1
230,166,1
231,76,1
232,99,1
172,5084,1
233,409,1
234,27,1
235,81,1
236,22234,1
237,271,1
238,89,1
239,171,1
240,229,1
241,270,1
242,234,1
243,80,1
244,35,1
245,79,1
246,22233,1
247,15664,1
248,1248,1
249,251,1
250,549,1
251,13422,1
